x,y,z,d
3,3,9,449.5684185
3,3,10,377.0496453
3,4,0,285.4991045
3,4,1,330.0155456
3,4,2,367.736135
3,4,3,395.4262929
3,4,4,412.0183001
3,4,5,417.5124521
3,4,6,412.0183001
3,4,7,395.4262929
3,4,8,367.736135
3,4,9,330.0155456
3,4,10,285.4991045
3,5,0,221.9545305
3,5,1,250.4779527
3,5,2,274.9509101
3,5,3,293.3770357
3,5,4,304.6921865
3,5,5,308.4931255
3,5,6,304.6921865
3,5,7,293.3770357
3,5,8,274.9509101
3,5,9,250.4779527
3,5,10,221.9545305
3,6,0,176.7092759
3,6,1,195.6996992
3,6,2,212.0309828
3,6,3,224.4652533
3,6,4,232.197236
3,6,5,234.8149664
3,6,6,232.197236
3,6,7,224.4652533
3,6,8,212.0309828
3,6,9,195.6996992
3,6,10,176.7092759
3,7,0,143.5533626
3,7,1,156.6109687
3,7,2,167.8061643
3,7,3,176.3567204
3,7,4,181.701351
3,7,5,183.5173646
3,7,6,181.701351
3,7,7,176.3567204
3,7,8,167.8061643
3,7,9,156.6109687
3,7,10,143.5533626
3,8,0,118.6188572
3,8,1,127.8441199
3,8,2,135.7090934
3,8,3,141.7090111
3,8,4,145.4631119
3,8,5,146.74011
3,8,6,145.4631119
3,8,7,141.7090111
3,8,8,135.7090934
3,8,9,127.8441199
3,8,10,118.6188572
3,9,0,99.44541383
3,9,1,106.1163861
3,9,2,111.7656126
3,9,3,116.0607854
3,9,4,118.7449585
3,9,5,119.6577699
3,9,6,118.7449585
3,9,7,116.0607854
3,9,8,111.7656126
3,9,9,106.1163861
3,9,10,99.44541383
3,10,0,84.41906416
3,10,1,89.34174055
3,10,2,93.48153425
3,10,3,96.61555262
3,10,4,98.56956803
3,10,5,99.2334354
3,10,6,98.56956803
3,10,7,96.61555262
3,10,8,93.48153425
3,10,9,89.34174055
3,10,10,84.41906416
4,0,0,473.355627
4,0,1,581.1946409
4,0,2,666.0104562
4,0,3,721.9820004
4,0,4,752.7442562
4,0,5,762.4788516
4,0,6,752.7442562
4,0,7,721.9820004
4,0,8,666.0104562
4,0,9,581.1946409
4,0,10,473.355627
4,1,0,443.8623656
4,1,1,540.2733465
4,1,2,617.1872796
4,1,3,668.8742278
4,1,4,697.6656374
4,1,5,706.8371035
4,1,6,697.6656374
4,1,7,668.8742278
4,1,8,617.1872796
4,1,9,540.2733465
4,1,10,443.8623656
4,2,0,377.0496453
4,2,1,449.5684185
4,2,2,509.1396886
4,2,3,550.8019072
4,2,4,574.7448709
4,2,5,582.4946302
4,2,6,574.7448709
4,2,7,550.8019072
4,2,8,509.1396886
4,2,9,449.5684185
4,2,10,377.0496453
4,3,0,305.988579
4,3,1,356.2773924
4,3,2,398.6424621
4,3,3,429.4359306
4,3,4,447.7229235
4,3,5,453.7479168
4,3,6,447.7229235
4,3,7,429.4359306
4,3,8,398.6424621
4,3,9,356.2773924
4,3,10,305.988579
4,4,0,245.7870154
4,4,1,279.9627309
4,4,2,309.1801523
4,4,3,330.9945277
4,4,4,344.2773764
4,4,5,348.7167845
4,4,6,344.2773764
4,4,7,330.9945277
4,4,8,309.1801523
4,4,9,279.9627309
4,4,10,245.7870154
4,5,0,198.5299405
4,5,1,221.9174388
4,5,2,242.0241505
4,5,3,257.2639367
4,5,4,266.6896539
4,5,5,269.8698738
4,5,6,266.6896539
4,5,7,257.2639367
4,5,8,242.0241505
4,5,9,221.9174388
4,5,10,198.5299405
4,6,0,162.147004
4,6,1,178.4178879
4,6,2,192.399668
4,6,3,203.0661622
4,6,4,209.7172542
4,6,5,211.973212
4,6,6,209.7172542
4,6,7,203.0661622
